503
x	y	r	id
0.25	0.25	0.05	1
0.07160791580551693	0.187410414888241	0.005	-1
0.2990549972387064	0.15987051502400232	0.005	0
0.05163581172568292	0.32030281145136974	0.005	1
0.37789497216952767	0.42837199711020363	0.005	2
0.3972922948860083	0.15122920533331624	0.005	3
0.4126770826515083	0.07664927990047257	0.005	4
0.34619377692589	0.39696710799087404	0.005	5
0.2519175522047327	0.47531017880408816	0.005	6
0.4069753178286827	0.34186786485925363	0.005	7
0.20053209151563275	0.44758778953177436	0.005	8
0.30524645811944484	0.2505287052741307	0.005	9
0.35208628528103586	0.2981456213872239	0.005	10
0.33485089207294344	0.48624844362654734	0.005	11
0.4940684554392576	0.12404504200410701	0.005	12
0.3493530386778064	0.021941003956299658	0.005	13
0.03999739441164189	0.2967138590971135	0.005	14
0.182783392098455	0.4801999218680364	0.005	15
0.14978503636983842	0.113919992557727	0.005	16
0.27647262726667776	0.37961656204604244	0.005	17
0.3469707401945229	0.4825672891719844	0.005	18
0.18203671754912304	0.047144159481800355	0.005	19
0.05143104302962905	0.4585565957832574	0.005	20
0.4443880147403819	0.24052570852691313	0.005	21
0.3722561692174053	0.20096729048695297	0.005	22
0.2077862512491663	0.3288906165420107	0.005	23
0.3794414061601091	0.128225821752263	0.005	24
0.488760310032561	0.27317657141531065	0.005	25
0.2200955821589491	0.022500154771560716	0.005	26
0.4100279904779135	0.4518905249999074	0.005	27
0.30998225861338147	0.2150899851378614	0.005	28
0.05414628553165372	0.12383141304726054	0.005	29
0.22074972077494448	0.0402807006240617	0.005	30
0.07904001546767794	0.15622719961375475	0.005	31
0.48533606780604677	0.2966309396659691	0.005	32
0.4419746362474924	0.42559223125905943	0.005	33
0.45671960503075276	0.4730419965917354	0.005	34
0.2192660665529238	0.12879145644513576	0.005	35
0.48070563417745743	0.3657057317324053	0.005	36
0.3321889081182514	0.28679403353438077	0.005	37
0.45132505042339455	0.4516732250413285	0.005	38
0.3694595261569707	0.16623868244765094	0.005	39
0.2794550318621603	0.3047714667560153	0.005	40
0.2348723595417328	0.4370843861656725	0.005	41
0.2831437716900603	0.4377062753444119	0.005	42
0.023659690109246817	0.06599481533362239	0.005	43
0.43568965123174314	0.3961830163914333	0.005	44
0.23804588681449396	0.1148029842996657	0.005	45
0.3718088992577293	0.3093980488089913	0.005	46
0.3043318245995395	0.20612491761656815	0.005	47
0.3816168207813271	0.32547318369759676	0.005	48
0.20772596105774838	0.20300420592992244	0.005	49
0.4754810091205115	0.3895244945130984	0.005	50
0.34807674804658256	0.2360885685938695	0.005	51
0.4941819213160767	0.4056438460458773	0.005	52
0.457022650639232	0.13072051134589388	0.005	53
0.24342919675910182	0.4945268656387089	0.005	54
0.2550932510591723	0.3123100473749902	0.005	55
0.11074117437629079	0.3977130279307717	0.005	56
0.4194294718696831	0.11753496479901118	0.005	57
0.4309867931658202	0.4349389471251542	0.005	58
0.059578893132363864	0.33448922296990924	0.005	59
0.1142475381806491	0.22083713951840006	0.005	60
0.3086611401401963	0.15342701084840554	0.005	61
0.4386625605398165	0.3692095845166007	0.005	62
0.13135661583786445	0.4742192088623374	0.005	63
0.07834253000995495	0.4844783381272724	0.005	64
