102
m	r	x	y
1	1	-200	-200
1	1	200	200
1	1	56.193406763973115	14.363183360893952
1	1	-9.672390543125047	65.28740200973894
1	1	-53.0996829028147	-14.332608821164689
1	1	55.304321813877465	-8.79954480112906
1	1	71.91392279212333	-52.43460411453991
1	1	16.33285778000636	70.1230187366323
1	1	61.256056077737405	-9.575781628728306
1	1	-60.60304479554262	40.697309020492426
1	1	-35.22552339477592	90.37788723777567
1	1	60.55499278918592	74.49223347639432
1	1	35.29492258895626	-92.49469411506578
1	1	-40.569015928139585	-50.78538122946756
1	1	47.39751881542486	-60.683401438461296
1	1	54.868288219785995	-58.219163063638184
1	1	4.74830911761527	70.84104432123776
1	1	32.178058352680566	39.56731682400873
1	1	52.40635123662091	60.44480416101885
1	1	-64.37244107496356	-42.25149500373145
1	1	47.24264138934279	-31.89252004088036
1	1	81.84682816375994	5.009662616579464
1	1	78.48668204504722	23.745330942306587
1	1	49.53183682499598	-12.148956364312637
1	1	36.78041424740086	85.41780334209953
1	1	-57.738615720676044	65.07881571341092
1	1	55.67365662706088	-6.036883117314827
1	1	-71.11823538220882	-67.4254892167698
1	1	38.23378047251758	-64.52269392066124
1	1	36.44129080247055	89.89456226407566
1	1	-59.87214456351524	71.16408016243541
1	1	83.77652902858156	-26.934980674268726
1	1	18.13115617283409	-50.86512730581042
1	1	53.85851834019368	80.67378757811623
1	1	-25.500088528892995	65.19007198200214
1	1	-91.67639218699087	-7.709676749192557
1	1	-27.628718751104678	82.49638719466664
1	1	-47.49575213239431	-56.74639662020983
1	1	-70.16119812809318	-49.73335175946274
1	1	53.7805852440361	-11.517319601754863
1	1	57.089687619153615	-18.459890778318773
1	1	-11.353793480719032	-48.69385355049631
1	1	-79.1238656034263	56.11072884904395
1	1	-39.54896627283692	63.72502857394422
1	1	-54.6142360007512	19.526526215746923
1	1	-60.11744373018768	27.23771207990344
1	1	99.39384093849642	-10.99383388508628
1	1	-19.956106610110016	59.755784732240976
1	1	-0.504898847270841	50.99750069517157
1	1	28.869909448717173	-51.45413810786136
1	1	-49.09485178091713	-59.31859344766848
1	1	-41.76539941042848	-41.67314977401372
1	1	48.964715528805485	-31.087885633847076
1	1	-77.81819655090707	-36.610494199947574
1	1	2.346959725884578	-94.97100494385155
1	1	-51.70667458096232	-44.1635574176092
1	1	-9.975040440063633	83.40562671798045
1	1	-26.21561670237997	44.90814448308788
1	1	66.20652718323596	-68.12999162142498
1	1	-83.59456280550828	27.494527989327832
1	1	-60.74354259582586	-38.65516825612184
1	1	-74.29881665758639	-15.990179588808981
1	1	23.07474065182331	-56.467303316619365
1	1	-70.86765676839077	-55.47770024214737
1	1	76.91379161377388	-44.78022621194502
1	1	69.97844723685894	-1.736928990531893
1	1	3.755604141495778	-76.90835739718005
1	1	-11.375628038179036	-82.21675672718425
1	1	74.6596541350042	-48.44518597798494
1	1	70.71279687352592	-32.91960446790732
1	1	25.704037768371172	44.04886425780066
1	1	-69.83135598217072	-50.19543526747575
1	1	77.08410892644795	-50.21991787145322
1	1	-86.99546094522108	-0.8886928201079264
1	1	23.432400384360978	81.7063192918822
1	1	-86.07923044310115	32.47100377757805
1	1	-3.216849474023359	-75.93188973982852
1	1	-37.820144184788234	38.54395794209293
1	1	62.38501051643422	14.28672330747648
1	1	64.9084394705334	3.4488382826834902
1	1	5.05196631719382	-49.74412162587595
1	1	26.451171540464724	83.93053987754939
1	1	-17.646384493301433	75.97766194293274
1	1	-29.32213113752487	-42.94429677563477
1	1	-42.685260464823166	-27.910007865462955
1	1	45.23906726235948	23.546269199848084
1	1	-67.21843146256798	10.280198038561853
1	1	-22.239804967881042	79.96493653465008
1	1	-39.72221223298292	42.26281882834914
1	1	-23.71146542660048	75.35759024360539
1	1	72.95606196162836	27.59371346975687
1	1	-80.06403548443818	-41.10657151778318
1	1	11.370992815348595	-78.17736579338863
1	1	13.64665715472225	57.400076206408194
1	1	85.989295624805	-1.3568485360912215
1	1	-32.61158062059532	51.55079833937019
1	1	-37.375897033843835	51.95230813847931
1	1	-50.78412514678585	-33.79308558086393
1	1	86.11452017488746	-18.118758650881738
1	1	44.45437741018192	87.33732494800323
1	1	86.8084500066245	-47.59509436325739
1	1	3.4947674555942214	49.87771647170026
