500
color	x	y
0	66.53545	34.253534
0	12.357266	21.534368
0	70.57564	3.643251
0	44.982106	14.574989
0	63.810935	36.580617
0	64.753414	86.882772
0	67.532911	43.364021
0	6.3430636	63.110164
0	22.864151	38.119822
0	17.096144	82.966128
0	92.457039	75.924774
0	51.478448	11.807832
0	66.621227	8.8851863
0	66.579774	65.246705
0	8.7471	37.22356
0	23.261354	10.482601
0	28.682817	61.615018
0	91.26181	61.978569
0	23.140236	90.385837
0	25.171469	59.864329
0	67.3516	47.773293
0	64.646256	56.889634
0	70.202669	97.416838
0	83.26815	51.177861
0	72.286283	34.191932
0	2.2987912	97.559252
0	58.305987	98.393683
0	91.742828	88.882534
0	9.5579342	73.447882
0	55.389034	65.666183
0	92.669441	72.637892
0	20.404256	42.923896
0	52.479488	39.154666
0	13.161613	21.565652
0	74.652218	87.383323
0	31.447539	94.015767
0	18.970415	94.125739
0	97.248391	10.469214
0	70.500791	5.5851247
0	81.840812	16.008979
0	68.055323	51.982272
0	68.525221	6.7253182
0	52.317007	0.76471009
0	19.662406	8.9383596
0	49.30966	59.933286
0	55.361711	5.0557827
0	82.465804	65.085258
0	20.657502	56.861474
0	52.484571	6.6272086
0	80.609049	23.832632
0	35.817785	34.369805
0	54.486739	11.916886
0	71.514594	73.163695
0	20.700103	43.89342
0	63.571395	1.6630221
0	0.44528392	67.915344
0	51.305009	87.273149
0	56.618445	13.25849
0	1.0044821	80.774176
0	88.565802	24.847612
0	82.511253	2.3795285
0	77.142941	52.353375
0	78.574441	92.711296
0	37.493359	76.133154
0	15.75836	39.859912
0	35.388396	70.987269
0	64.275023	47.356764
0	92.626419	43.539012
0	9.6525395	93.491878
0	73.568086	57.129101
0	5.9260435	77.655935
0	75.440977	70.718494
0	46.545678	13.43069
0	4.9445507	68.614144
0	83.949947	38.941568
0	17.228037	12.487558
0	11.923838	63.395391
0	27.493062	49.013988
0	32.20425	6.1320377
0	60.447146	51.559784
0	67.347483	30.74889
0	98.362379	84.785604
0	98.515949	0.88672292
0	75.116228	19.758321
0	27.705722	87.275181
0	94.6708	21.454567
0	41.324521	30.988123
0	22.176532	33.770182
0	62.783303	79.20793
0	2.0109032	56.49043
0	4.726115	80.617024
0	18.512307	8.5825509
0	20.727897	18.775311
0	71.668468	62.185265
0	44.821872	5.778125
0	84.207108	73.561759
0	39.123416	59.542455
0	83.43922	79.098326
0	74.16093	15.620337
0	58.293948	72.98808
0	16.388102	74.96427
0	52.85695	87.321302
0	46.335572	42.116851
0	38.389954	18.065079
0	9.9722416	29.818385
0	26.39987	31.426884
0	33.864373	43.440595
0	37.773798	35.421953
0	14.776807	62.348608
0	31.819966	93.439464
0	28.612528	28.045095
0	81.368083	23.968598
0	34.345136	91.28666
0	86.8978	91.869949
0	27.287206	30.344503
0	76.762331	7.4312005
0	60.808051	77.285435
0	2.5787855	12.862026
0	69.826073	45.405994
0	2.1742896	43.471346
0	68.152953	59.725167
0	87.022003	12.444272
0	43.271031	59.099219
0	62.561777	12.639231
0	58.117494	10.885826
0	23.166044	43.417437
0	77.878135	26.55177
0	28.940709	93.62002
0	91.92282	51.038553
0	30.180318	43.790446
0	53.534079	30.054303
0	33.633969	46.195533
0	23.987369	77.176222
0	54.311604	16.099386
0	11.577494	2.1986935
0	14.084033	70.1513
0	9.8931351	59.841421
0	31.423879	40.630484
0	81.001138	90.710464
0	51.331712	46.90818
0	86.346291	90.870039
0	97.485113	49.108554
0	32.813349	91.958702
0	22.260764	69.612057
0	51.800405	68.654282
0	35.653571	0.40208199
0	85.498311	53.347723
0	26.407991	40.595799
0	83.98261	62.102489
0	58.157243	53.552691
0	71.36237	21.032161
0	34.572111	54.430591
0	1.327424	85.570258
0	19.596131	0.46738718
0	50.64103	11.746081
0	2.8474599	76.81616
0	54.252779	1.7355863
0	28.300882	13.826536
0	69.199977	31.3507
0	87.820138	89.728542
0	2.9634537	60.774322
0	34.926828	1.5085983
0	42.336663	30.353284
0	8.7372264	18.938583
0	8.6127762	27.102214
0	8.0463031	2.6204031
0	89.68187	82.334322
0	96.506437	75.737597
0	39.250454	71.31436
0	31.536722	81.48132
0	55.445267	76.048523
0	78.455635	11.748054
0	79.333957	37.793582
0	85.517968	2.7303228
0	79.518321	0.32812723
0	1.4478203	0.68829023
0	91.23757	16.478149
0	2.5695608	14.801762
0	3.4873411	50.950452
0	70.779217	41.165356
0	53.788275	58.572749
0	52.385447	26.891182
0	50.223993	58.472445
0	7.0495143	57.862919
0	23.742411	11.825328
0	12.167666	7.8640213
0	98.168572	3.1537542
0	7.8059151	16.520861
0	6.5226476	51.79597
0	66.004336	83.341254
0	34.771548	29.918211
0	13.571423	18.744581
0	62.981077	6.1655847
0	74.444041	93.817046
0	80.170903	24.38323
0	26.816226	62.361297
0	43.641391	19.894553
0	40.483097	23.422638
0	60.696943	73.539535
0	76.306728	15.195796
0	93.729265	81.603273
0	13.931488	9.197839
0	25.767585	97.193405
0	37.978385	64.52532
0	98.671067	28.007684
0	34.240467	85.926163
0	89.147238	2.9531282
0	24.011581	75.327594
0	22.241019	88.844081
0	98.603608	61.253058
0	94.680209	71.387989
0	63.589349	45.608768
0	50.408014	75.0784
0	36.343986	0.73493888
0	76.187388	18.875527
0	77.664785	8.8975835
0	3.6548548	16.52071
0	5.5911803	93.492642
0	32.505985	84.149752
0	79.23176	13.391419
0	62.865574	65.277719
0	97.47206	3.784658
0	16.568054	14.493271
0	61.2966	17.920898
0	31.100957	63.75904
0	8.860449	84.925811
0	87.655629	84.920664
0	58.922873	48.607048
0	30.509527	77.301853
0	17.430561	26.947983
0	34.11925	95.938469
0	7.0682928	98.310134
0	64.638461	8.0554705
0	24.923923	32.338151
0	75.229611	26.246412
0	30.452102	20.997929
0	41.965838	75.896318
0	6.208661	35.99033
0	3.8553197	15.148543
0	19.374527	16.123832
0	27.291075	88.551339
0	6.9034131	94.211107
0	33.596308	50.975029
0	5.8001413	1.8042231
0	10.550641	41.431107
0	7.966049	11.985873
0	90.133981	94.439246
0	31.641364	26.352117
0	59.09357	88.559359
0	37.871446	88.716267
0	94.748261	76.853239
0	74.030213	90.099334
0	87.899824	1.6332093
0	59.806009	95.122938
0	68.561668	7.4633661
0	39.398557	27.755599
0	22.725963	48.106279
0	13.41314	96.299497
0	17.651661	56.108875
0	93.172315	26.9682
0	4.2288826	12.691427
0	87.205538	15.212972
0	52.163857	26.073876
0	80.354853	42.728848
0	44.862492	38.786865
0	34.623033	42.206652
0	75.401604	60.691763
0	36.261769	43.906794
0	54.867806	1.0354273
0	88.064986	3.3560402
0	83.698847	39.638628
0	24.606905	97.160898
0	43.655916	53.472118
0	82.580309	90.476531
0	15.861921	31.862246
0	75.25671	28.446397
0	87.331369	87.152768
0	50.212359	77.104158
0	56.883358	38.643734
0	84.847884	87.480045
0	97.855157	42.032528
0	78.592619	45.950265
0	35.332767	42.150586
0	50.190484	44.710743
0	25.789355	68.777847
0	50.899033	8.7525364
0	8.2649521	72.643082
0	6.3674183	12.773652
0	63.285322	48.87124
0	61.356272	25.227676
0	8.6145764	58.504689
0	60.599192	22.032455
0	54.428686	94.702421
0	84.794268	6.1599366
0	63.769856	17.68644
0	27.440544	62.081271
0	11.325523	28.657437
0	6.8246505	13.47684
0	61.889615	18.404085
0	69.741437	94.868542
0	27.982487	29.014863
0	42.447411	22.949743
0	36.742591	65.221515
0	9.0260902	0.42124809
0	7.7741328	7.6716986
0	12.715936	30.445191
0	67.280382	21.76338
0	22.196433	68.777391
0	24.011744	69.26424
0	1.2677552	84.479341
0	72.405461	55.155568
0	56.01634	56.227674
0	55.117394	52.285722
0	74.004882	85.108948
0	81.986147	43.97974
0	39.554794	37.557008
0	14.016284	58.844134
0	20.145647	29.929452
0	71.293171	9.7735564
0	66.626266	36.457194
0	6.7079971	21.849826
0	38.57004	63.525011
0	49.131777	76.855406
0	76.979905	42.320627
0	15.029717	61.611254
0	48.592677	27.098181
0	7.7234258	47.200634
0	78.197325	30.87644
0	39.475578	81.913224
0	23.886381	73.552262
0	8.822764	14.166983
0	8.7002449	6.6965387
0	92.235013	52.582301
0	20.769644	73.642103
0	95.269184	82.862519
0	34.149123	71.275147
0	95.623458	88.04306
0	34.874948	15.700093
0	7.0778569	19.784201
0	61.144272	87.392474
0	55.463439	45.391575
0	89.908753	18.366665
0	20.430483	71.738769
0	78.518003	87.584976
0	34.922899	79.005059
0	96.818739	83.590527
0	83.17545	53.117753
0	70.603799	20.389814
0	21.872583	52.330326
0	1.9478616	83.627364
0	21.654115	21.049938
0	53.604971	70.863412
0	11.18003	85.528715
0	84.889199	46.478838
0	90.545248	45.446196
0	33.512536	93.454751
0	46.952883	62.02492
0	0.45735585	80.18231
0	31.434645	39.420331
0	48.557129	31.329943
0	26.646179	37.19364
0	68.110574	71.111917
0	90.384939	18.962451
0	56.933781	48.196825
0	27.247678	11.705206
0	92.076843	13.740788
0	6.3770852	94.582188
0	62.47038	62.299993
0	94.248362	43.299274
0	51.619869	69.966138
0	95.140828	52.351355
0	27.468444	64.477452
0	52.670275	77.008678
0	90.829864	61.376502
0	21.867852	49.503719
0	82.225429	47.86552
0	14.607711	10.778343
0	43.829239	90.846534
0	86.996831	42.650228
0	70.080654	41.969339
0	49.702218	2.1183523
0	60.788676	50.250632
0	8.1073679	95.627857
0	24.696864	26.943381
0	3.0135633	73.657648
0	83.879753	11.421822
0	1.9178824	76.247312
0	54.879844	76.278814
0	12.432483	53.413337
0	58.419436	16.21385
0	62.115015	92.208762
0	74.081607	20.2994
0	31.798683	1.8918667
0	91.18874	59.495251
0	77.884505	60.002606
0	10.629059	46.267799
0	28.38863	58.870349
0	90.352417	71.640159
0	11.666995	40.223831
0	78.627783	59.03263
0	10.658179	42.166215
0	76.056525	11.849385
0	65.915265	34.716591
0	76.947078	53.950024
0	92.420742	12.481505
0	18.059319	7.9604949
0	2.7355157	28.526431
0	83.005104	66.955131
0	47.365178	44.895266
0	11.363789	49.283264
0	9.7075813	5.7334193
0	11.906273	7.185545
0	17.364392	33.208967
0	96.590464	33.137895
0	28.771683	97.704026
0	59.795913	74.36316
0	84.832809	63.941859
0	24.702715	87.507929
0	72.38743	50.448719
0	40.283884	36.836345
0	31.229058	87.583776
0	64.948867	23.890103
0	39.625955	15.722217
0	12.33833	65.158448
0	97.138925	25.180441
0	51.728945	14.955856
0	50.75233	26.850708
0	32.910111	29.170801
0	20.274783	0.60093438
0	85.603434	22.433779
0	27.051103	66.245831
0	53.835671	97.356949
0	54.985139	24.820879
0	95.839881	61.268803
0	27.143776	96.39438
0	26.918908	48.484997
0	31.429955	29.416571
0	55.651541	58.903225
0	37.994889	53.547363
0	25.297635	12.607632
0	67.370858	54.450263
0	26.815935	14.47604
0	95.441522	25.459255
0	49.757673	52.060929
0	42.847993	80.530507
0	56.702412	71.046813
0	61.20547	49.507922
0	80.435693	88.631961
0	87.776659	94.319667
0	16.477022	45.582169
0	9.5809728	28.294355
0	31.472918	91.842296
0	60.564476	48.995352
0	37.983952	86.930263
0	91.829668	20.961213
0	6.4857671	11.237126
0	98.61577	12.23405
0	66.468777	56.632501
0	61.516624	45.851626
0	15.343189	36.813165
0	3.3280358	74.773781
0	57.118697	44.760184
0	3.4465543	69.927956
0	70.973099	92.160847
0	21.669739	81.281185
0	26.318354	3.8540934
0	95.511485	95.887054
0	18.461618	88.033786
0	79.50209	63.143568
0	4.8142955	1.0760796
0	31.07051	96.930491
0	96.084017	38.037454
0	27.105911	39.265202
0	12.669192	50.377238
0	60.58211	54.367872
0	64.413304	95.088313
0	87.187496	85.3158
0	89.213674	47.048527
0	5.6847111	87.059152
0	75.501625	38.313775
0	85.087607	4.8064708
0	48.217993	29.934526
0	8.156223	31.532641
0	9.6091892	45.522863
0	20.444665	48.122332
0	77.531237	69.920443
0	40.92442	35.943634
0	82.437831	93.378703
0	15.440701	26.326914
0	73.049234	73.766355
0	15.279709	90.150952
0	83.436508	57.754358
0	54.495644	89.841111
0	95.312589	5.5695886
0	8.0401388	55.02881
0	92.933735	0.39264885
0	36.488315	14.716901
0	7.2825475	40.193252
0	95.868739	22.982012
0	64.726577	52.751197
500
color	x	y
0	66.3829009476149	33.995214843497024
